Employee_ID,Gender,Age,Education_Level,Employee_Satisfaction_Score
184,Female,32,Bachelor,1.46
185,Female,33,Bachelor,2.69
186,Female,57,Bachelor,4.38
187,Male,38,Master,3.08
188,Female,43,High School,4.01
189,Female,26,Bachelor,2.8
190,Female,41,Bachelor,3.85
191,Female,37,Bachelor,2.32
192,Female,36,Bachelor,3.84
193,Male,54,Bachelor,3.94
194,Female,45,Bachelor,1.48
195,Female,56,Master,2.51
196,Female,39,Master,1.59
197,Male,44,High School,1.49
198,Female,55,Bachelor,3.45
199,Female,52,Bachelor,3.23
200,Male,27,Master,3.73
201,Male,45,Bachelor,2.41
202,Female,54,Bachelor,3.47
203,Male,32,High School,4.06
204,Male,52,Bachelor,2.63
205,Female,38,High School,1.25
206,Male,50,Bachelor,4.9
207,Male,41,Master,1.02
208,Female,40,High School,4.61
209,Male,43,High School,2.96
210,Male,42,Bachelor,4.32
211,Female,26,High School,2.86
212,Male,36,PhD,2.76
213,Male,28,Bachelor,4.27
214,Female,32,Master,2.42
215,Female,25,High School,1.75
216,Female,30,Bachelor,4.21
217,Female,42,Master,4.58
218,Female,22,High School,4.77
219,Male,23,Bachelor,4.14
220,Male,52,Bachelor,4.97
221,Male,25,High School,3.23
222,Male,50,Bachelor,4.74
223,Male,32,Bachelor,4.98
224,Female,55,Bachelor,2.76
225,Female,53,Master,1.49
226,Female,44,PhD,4.9
227,Female,25,Bachelor,1.66
228,Female,57,Bachelor,2.83
229,Male,42,Bachelor,3.62
230,Female,39,Bachelor,1.39
231,Male,25,High School,3.1
232,Female,27,High School,2.06
233,Female,32,High School,1.45
234,Female,57,Master,4.13
235,Male,32,Master,2.65
236,Female,39,Master,4.33
237,Other,44,Bachelor,3.51
238,Male,28,High School,1.96
239,Female,42,High School,4.65
240,Female,27,High School,1.53
241,Male,60,High School,2.18
242,Male,42,Master,4.72
243,Male,33,High School,3.42
244,Female,47,Bachelor,1.04
245,Female,45,Bachelor,4.79
246,Female,32,Bachelor,4.82
247,Female,24,Bachelor,1.46
248,Female,43,Bachelor,4.81
249,Male,32,High School,1.49
250,Male,35,High School,2.03
251,Male,56,Bachelor,2.7
252,Male,35,Bachelor,3.76
253,Male,34,Bachelor,4.87
254,Female,30,Master,3.4
255,Other,46,High School,1.05
256,Male,34,High School,3.17
257,Female,45,Bachelor,1.61
258,Female,31,Bachelor,3.3
259,Male,26,Bachelor,3.98
260,Male,40,High School,4.41
261,Male,46,Master,4.27
262,Female,32,Bachelor,1.43
263,Female,26,Master,4.97
264,Male,52,Master,2.68
265,Other,26,PhD,3.98
266,Female,34,PhD,4.18
267,Male,31,Bachelor,3.39
268,Female,54,Bachelor,4.08
269,Male,39,High School,4.5
270,Female,52,Bachelor,1.54
271,Male,39,Bachelor,1.52
272,Male,31,Master,3.33
273,Female,44,Bachelor,2.63
274,Other,25,Bachelor,4.21
275,Male,26,Bachelor,2.64
276,Male,56,Bachelor,4.9
277,Male,27,PhD,1.53
278,Female,59,Bachelor,1.84
279,Male,34,Bachelor,1.9
280,Male,54,Bachelor,3.92
281,Female,57,Bachelor,2.5
282,Female,43,Bachelor,3.06
283,Male,36,Bachelor,4.79
284,Female,41,High School,3.91
285,Female,38,High School,4.85
286,Female,40,Bachelor,1.65
287,Female,22,High School,3.36
288,Male,34,Bachelor,4.91
289,Female,58,Master,1.96
290,Male,42,High School,2.29
291,Male,40,High School,3.49
292,Male,56,Bachelor,2.26
293,Male,51,High School,4.16
294,Female,22,PhD,2.74
295,Male,48,Bachelor,1.39
296,Female,40,High School,3.99
297,Female,36,Master,3.34
298,Female,30,PhD,4.39
299,Other,22,Bachelor,5.0
300,Female,53,Bachelor,2.5
301,Male,34,Master,4.69
302,Female,23,Master,3.37
303,Female,57,Bachelor,2.01
304,Male,24,Master,1.21
305,Male,46,Bachelor,4.98
306,Female,51,Bachelor,3.65
307,Female,46,Bachelor,2.97
308,Female,58,Master,3.65
309,Female,24,Bachelor,1.11
310,Female,35,Bachelor,2.32
311,Female,46,Master,3.45
312,Male,34,High School,2.21
313,Male,47,Master,4.23
314,Male,54,High School,1.18
315,Female,43,High School,1.42
316,Male,42,High School,1.22
317,Male,23,Master,2.09
318,Female,27,Bachelor,2.49
319,Female,22,High School,3.48
320,Female,45,Bachelor,4.7
321,Female,36,High School,3.53
322,Female,23,Master,4.67
323,Male,26,High School,1.62
324,Female,34,High School,1.59
325,Male,24,High School,2.74
326,Male,57,Bachelor,3.21
327,Female,46,Bachelor,3.89
328,Female,22,High School,4.75
329,Other,53,Bachelor,1.93
330,Female,27,High School,3.45
331,Other,34,Bachelor,3.33
332,Female,50,High School,4.09
333,Female,31,High School,3.28
334,Male,38,PhD,1.74
335,Female,33,High School,2.71
336,Female,28,Master,2.63
337,Male,35,High School,4.64
338,Female,55,Master,1.94
339,Male,60,Bachelor,1.85
340,Female,45,Bachelor,1.35
341,Male,43,Master,3.48
342,Male,31,High School,4.73
343,Female,29,Master,3.11
344,Female,27,Bachelor,3.92
345,Female,56,Bachelor,2.15
346,Female,58,Bachelor,2.72
347,Female,54,Bachelor,3.72
348,Male,48,Master,1.14
349,Male,31,Bachelor,2.53
350,Female,43,Bachelor,2.02
351,Female,26,Bachelor,3.08
352,Male,43,Bachelor,4.88
353,Female,25,Bachelor,4.37
354,Female,44,Bachelor,3.33
355,Male,46,Bachelor,4.78
356,Female,27,High School,2.31
357,Female,53,High School,2.89
358,Female,32,Bachelor,3.62
359,Male,36,High School,4.75
360,Male,52,High School,3.55
361,Male,50,High School,3.92
362,Female,38,High School,1.07
363,Female,30,Master,1.82
364,Female,37,High School,2.64
365,Male,40,High School,3.42
366,Male,45,Bachelor,3.26
367,Female,42,Bachelor,1.03
368,Male,39,Master,3.68
369,Female,28,Master,4.31
370,Other,30,Master,3.17
371,Male,32,Bachelor,2.96
372,Male,50,Bachelor,2.69
373,Female,27,PhD,4.99
374,Female,32,Bachelor,1.29
375,Female,37,High School,2.38
376,Female,43,Bachelor,1.08
377,Male,28,High School,3.76
378,Female,33,Bachelor,3.35
379,Female,53,High School,4.22
380,Female,44,Bachelor,2.49
381,Female,26,High School,3.79
382,Male,42,Master,3.49
383,Male,36,Master,4.11
384,Female,34,High School,3.15
385,Female,52,High School,2.42
386,Male,31,High School,4.62
387,Male,26,High School,2.21
388,Female,43,PhD,1.17
389,Female,60,High School,4.48
390,Female,23,High School,2.82
391,Male,33,Bachelor,3.72
392,Male,25,High School,1.65
393,Male,35,Bachelor,4.01
394,Female,31,Master,4.68
395,Female,34,Bachelor,3.15
396,Female,39,High School,2.44
397,Male,35,High School,2.0
398,Male,41,Bachelor,3.13
399,Male,25,High School,1.53
400,Other,31,Bachelor,4.51
401,Female,54,Bachelor,4.81
402,Female,58,High School,4.47
403,Male,39,High School,1.17
404,Male,25,Bachelor,1.56
405,Female,27,High School,4.95
406,Male,41,Bachelor,1.81
407,Male,40,PhD,3.01
408,Male,30,High School,2.31
409,Male,52,Bachelor,4.39
410,Female,38,PhD,3.55
411,Male,50,Bachelor,2.34
412,Male,29,Bachelor,3.98
413,Male,22,Bachelor,1.05
414,Male,29,High School,4.79
415,Other,33,Bachelor,2.04
416,Female,30,High School,4.93
417,Male,42,Bachelor,1.77
418,Male,42,PhD,1.89
419,Female,42,Master,1.72
420,Male,38,High School,2.04
421,Female,37,PhD,4.07
422,Male,52,Master,4.59
423,Male,51,Master,4.16
424,Female,31,Master,3.74
425,Female,30,PhD,1.62
426,Female,45,Bachelor,1.95
427,Female,22,Bachelor,3.48
428,Female,48,Bachelor,3.85
429,Male,25,High School,2.0
430,Male,50,Bachelor,2.94
431,Female,57,Bachelor,3.86
432,Female,23,High School,2.38
433,Female,40,High School,3.04
434,Female,50,High School,1.57
435,Male,45,Master,4.35
436,Male,45,Bachelor,1.18
437,Male,51,High School,1.9
438,Female,23,High School,4.13
439,Male,35,Bachelor,3.78
440,Male,48,High School,2.27
441,Male,39,Bachelor,2.13
442,Male,49,Bachelor,2.26
443,Male,28,Master,2.64
444,Male,30,Master,4.33
445,Male,39,Bachelor,1.81
446,Other,56,High School,1.66
447,Female,23,High School,2.83
448,Female,30,High School,3.37
449,Female,47,Bachelor,2.64
450,Male,53,PhD,2.35
451,Female,49,Bachelor,1.13
452,Female,47,PhD,4.9
453,Male,36,PhD,2.15
454,Female,31,Bachelor,1.04
455,Male,33,Bachelor,3.47
456,Male,23,High School,4.38
457,Female,35,Master,4.51
458,Female,52,Bachelor,4.05
459,Male,39,Master,3.6
460,Female,59,Bachelor,2.44
461,Male,28,Bachelor,2.54
462,Male,60,High School,3.9
463,Male,26,High School,3.06
464,Female,37,Bachelor,4.72
465,Male,40,Master,3.39
466,Male,47,High School,1.2
467,Male,50,Bachelor,3.18
468,Male,56,Bachelor,2.97
469,Male,39,Bachelor,3.39
470,Male,36,High School,2.42
471,Female,47,Bachelor,1.59
472,Female,47,Bachelor,2.34
473,Female,27,Bachelor,3.03
474,Male,32,Bachelor,3.74
475,Female,29,High School,4.56
476,Female,39,High School,1.22
477,Male,26,Bachelor,1.2
478,Male,39,Bachelor,2.84
479,Male,32,Bachelor,1.81
480,Male,37,High School,4.28
481,Male,57,PhD,2.17
482,Female,52,High School,2.91
483,Male,55,Bachelor,1.23
484,Female,58,High School,1.79
485,Male,37,Bachelor,4.83
486,Male,59,Bachelor,2.18
487,Male,43,Bachelor,3.86
488,Male,41,Bachelor,3.65
489,Female,48,High School,2.47
490,Female,42,Master,3.21
491,Female,51,High School,2.01
492,Male,36,Bachelor,4.68
493,Male,22,Bachelor,4.99
494,Other,48,Master,4.92
495,Male,41,Bachelor,2.3
496,Female,50,PhD,4.31
497,Male,27,Bachelor,3.5
498,Male,35,High School,2.95
499,Female,27,High School,3.88
500,Male,27,Bachelor,3.38
501,Female,31,High School,2.24
502,Male,57,High School,4.27
503,Male,40,High School,1.89
504,Female,36,High School,3.73
505,Female,58,High School,1.15
506,Other,56,Bachelor,3.83
507,Other,36,Master,2.44
508,Male,49,Master,4.41
509,Male,35,Bachelor,3.8
510,Male,57,Bachelor,4.06
511,Female,50,High School,3.04
512,Female,46,Bachelor,3.36
513,Male,35,Master,1.15
514,Male,36,High School,2.43
515,Male,50,High School,2.31
516,Female,46,High School,1.4
517,Male,55,Master,4.58
518,Female,27,Bachelor,1.99
519,Male,39,Bachelor,2.17
520,Female,43,High School,2.66
521,Male,24,High School,1.0
522,Female,52,High School,2.61
523,Female,49,High School,4.12
524,Female,27,Bachelor,4.02
525,Male,59,Bachelor,2.1
526,Male,31,High School,1.74
527,Male,52,Bachelor,1.24
528,Female,28,Bachelor,2.82
529,Male,32,Bachelor,3.43
530,Male,27,Bachelor,2.17
531,Male,37,Master,4.28
532,Female,30,Bachelor,4.82
533,Male,34,Master,4.21
534,Female,45,High School,2.21
535,Male,29,High School,3.96
536,Female,45,Bachelor,4.16
537,Female,46,Bachelor,4.06
538,Male,35,Bachelor,4.16
539,Female,46,High School,2.4
540,Female,55,High School,1.58
541,Female,52,Bachelor,3.18
542,Female,35,Bachelor,4.8
543,Other,38,PhD,4.0
544,Female,35,Bachelor,4.52
545,Male,39,Bachelor,2.33
546,Female,33,Bachelor,2.38
547,Male,52,High School,3.44
548,Other,58,Bachelor,2.95
549,Female,48,High School,1.41
550,Male,31,Master,1.85
551,Female,31,Bachelor,3.08
552,Female,45,Master,2.57
553,Female,24,Bachelor,4.2
554,Male,60,Bachelor,2.66
555,Male,24,Master,2.34
556,Male,60,High School,2.9
557,Female,51,Bachelor,1.68
558,Female,48,Master,2.48
559,Female,54,High School,1.12
560,Female,29,Bachelor,2.88
561,Female,46,Bachelor,2.4
562,Female,56,Bachelor,3.92
563,Male,56,Bachelor,3.58
564,Female,57,High School,2.8
565,Female,35,Master,3.31
566,Male,33,Bachelor,1.4
567,Female,26,High School,4.14
568,Female,28,Bachelor,1.56
569,Female,55,Master,1.66
570,Male,46,Bachelor,4.04
571,Male,35,High School,2.47
572,Female,32,Bachelor,2.1
573,Female,26,Bachelor,2.21
574,Female,35,Bachelor,3.97
575,Female,41,Bachelor,2.13
576,Male,50,High School,4.86
577,Male,25,High School,1.12
578,Male,40,High School,1.22
579,Female,37,Bachelor,4.54
580,Female,52,Bachelor,2.7
581,Male,54,Bachelor,2.4
582,Male,54,Bachelor,2.38
583,Male,34,Bachelor,1.1
584,Male,39,High School,1.81
585,Female,59,Bachelor,2.92
586,Female,53,Bachelor,3.62
587,Male,49,High School,1.82
588,Male,59,High School,2.16
589,Female,36,High School,1.4
590,Male,43,High School,1.34
591,Male,27,High School,4.35
592,Male,54,Bachelor,1.03
593,Female,29,Bachelor,1.09
594,Male,33,Bachelor,1.99
595,Male,35,Bachelor,1.51
596,Female,43,Bachelor,4.83
597,Male,40,Bachelor,4.75
598,Female,27,Bachelor,1.78
599,Female,39,High School,2.76
600,Male,34,High School,4.46
601,Other,27,Master,1.28
602,Male,27,Master,4.72
603,Female,46,Master,3.96
604,Male,28,Bachelor,4.25
605,Male,41,High School,1.7
606,Female,35,Master,3.7
607,Female,43,High School,4.77
608,Male,42,Bachelor,4.73
609,Female,43,Bachelor,4.68
610,Male,30,High School,3.48
611,Female,42,High School,1.58
612,Male,42,Bachelor,2.98
613,Male,56,PhD,4.34
614,Female,41,Bachelor,1.96
615,Male,24,High School,3.65
616,Male,26,High School,3.24
617,Female,36,Master,2.14
618,Male,56,Bachelor,4.2
619,Female,40,Master,4.08
620,Female,56,High School,3.1
621,Male,40,Bachelor,3.24
622,Female,35,High School,2.51
623,Male,33,High School,3.93
624,Male,42,Master,2.28
625,Female,51,High School,1.17
626,Male,49,Master,2.9
627,Female,26,High School,2.85
628,Female,33,PhD,1.32
629,Female,35,Bachelor,3.73
630,Female,35,High School,4.86
631,Female,48,Bachelor,2.55
632,Female,35,Bachelor,4.25
633,Female,35,Bachelor,3.84
634,Male,51,Bachelor,4.88
635,Male,33,High School,4.49
636,Female,37,High School,1.56
637,Other,47,Bachelor,2.95
638,Male,42,Bachelor,4.47
639,Female,29,High School,2.44
640,Male,53,High School,2.95
641,Male,43,PhD,4.04
642,Male,35,High School,3.58
643,Male,37,Bachelor,2.37
644,Male,30,Master,1.49
645,Female,59,High School,2.8
646,Female,39,High School,3.26
647,Male,22,Master,3.6
648,Male,30,High School,1.83
649,Female,31,Bachelor,1.43
650,Male,44,High School,3.55
651,Female,29,Master,3.23
652,Male,33,Bachelor,2.07
653,Male,39,PhD,1.62
654,Male,39,High School,3.18
655,Male,27,High School,4.24
656,Female,59,High School,3.25
657,Female,39,Bachelor,2.18
658,Male,35,High School,2.69
659,Female,33,Bachelor,2.91
660,Female,55,Bachelor,4.84
661,Male,43,High School,4.08
662,Male,46,High School,2.66
663,Female,47,High School,1.89
664,Male,47,Bachelor,1.86
665,Female,37,High School,2.19
666,Female,37,PhD,2.13
667,Male,59,High School,3.02
668,Male,45,PhD,3.37
669,Female,43,High School,2.85
670,Male,47,Master,2.35
671,Male,46,High School,4.33
672,Female,56,Bachelor,3.09
673,Female,53,Bachelor,4.64
674,Female,50,Bachelor,1.29
675,Female,53,High School,4.5
676,Male,52,Bachelor,4.06
677,Male,46,High School,3.2
678,Female,25,PhD,2.75
679,Other,60,PhD,3.16
680,Male,44,Bachelor,1.69
681,Male,39,Master,3.43
682,Male,51,Master,1.72
683,Male,46,High School,4.72
684,Female,45,Master,4.27
685,Female,37,PhD,2.06
686,Male,51,High School,4.77
687,Female,52,Master,4.82
688,Male,32,Bachelor,2.43
689,Male,58,PhD,1.56
690,Male,48,Bachelor,1.54
691,Male,54,High School,3.9
692,Male,23,Bachelor,2.05
693,Male,50,Bachelor,1.81
694,Male,27,Master,3.99
695,Male,24,High School,4.76
696,Male,41,High School,2.88
697,Male,33,Bachelor,3.62
698,Male,57,Bachelor,4.83
699,Female,42,Bachelor,2.1
700,Male,57,Master,2.53
701,Female,44,Bachelor,1.47
702,Male,26,Bachelor,4.37
703,Male,51,Bachelor,3.26
704,Male,38,Bachelor,4.77
705,Male,26,Bachelor,2.69
706,Male,22,Master,3.23
707,Male,40,High School,2.53
708,Male,55,High School,3.65
709,Female,60,Bachelor,2.19
710,Female,40,Master,3.71
711,Female,46,High School,2.1
712,Female,57,Bachelor,1.84
713,Male,39,High School,1.89
714,Male,44,Master,2.85
715,Female,33,Bachelor,2.62
716,Male,49,Master,4.3
717,Female,42,High School,1.76
718,Other,48,Bachelor,3.41
719,Male,35,High School,4.85
720,Male,27,Bachelor,1.21
721,Male,46,High School,2.87
722,Male,37,Bachelor,2.3
723,Male,52,Master,3.13
724,Male,29,Master,3.85
725,Female,60,Master,3.45
726,Female,60,High School,1.33
727,Male,42,Bachelor,4.09
728,Female,43,Bachelor,1.04
729,Female,24,Master,1.52
730,Female,26,High School,4.82
731,Male,29,PhD,1.52
732,Male,52,High School,2.15
733,Other,51,High School,1.78
734,Male,47,High School,2.19
735,Male,42,Master,2.82
736,Female,42,Bachelor,1.28
737,Female,33,Bachelor,4.24
738,Female,32,Bachelor,4.39
739,Female,45,Bachelor,4.03
740,Male,25,High School,3.75
741,Female,54,High School,3.57
742,Male,55,Bachelor,1.8
743,Male,31,Bachelor,2.44
744,Female,51,Master,2.63
745,Female,30,Master,2.98
746,Male,39,Bachelor,1.36
747,Female,60,Bachelor,1.65
748,Male,53,High School,3.05
749,Male,48,Bachelor,2.22
750,Female,37,Bachelor,1.01
751,Female,39,Master,2.58
752,Female,45,High School,1.01
753,Male,60,Bachelor,1.12
754,Female,59,High School,4.49
755,Female,23,Bachelor,3.23
756,Male,59,High School,4.48
757,Female,49,Bachelor,2.64
758,Male,58,High School,3.36
759,Male,27,High School,3.34
760,Male,42,Master,3.46
761,Female,44,Master,3.74
762,Male,50,Bachelor,2.19
763,Female,57,High School,3.08
764,Male,44,Bachelor,3.04
765,Male,29,Bachelor,1.41
766,Female,33,Master,2.07
767,Male,34,High School,1.52
768,Female,26,Master,3.47
769,Female,43,Bachelor,2.51
770,Female,60,Bachelor,4.4
771,Male,45,Master,1.61
772,Male,44,Bachelor,3.69
773,Other,39,Bachelor,1.72
774,Male,49,High School,1.28
775,Female,52,High School,4.08
776,Female,27,Bachelor,4.02
777,Female,42,PhD,4.5
778,Female,30,Bachelor,4.55
779,Female,55,Bachelor,1.78
780,Male,29,High School,2.77
781,Other,28,High School,2.75
782,Female,43,Bachelor,2.76
783,Female,29,Bachelor,4.33
784,Female,33,High School,3.15
785,Female,48,Bachelor,3.1
786,Female,56,Bachelor,2.13
787,Male,32,Bachelor,1.92
788,Female,44,High School,4.23
789,Female,39,Bachelor,2.51
790,Female,51,Bachelor,4.12
791,Male,48,Master,2.27
792,Male,36,Bachelor,1.27
793,Female,39,Bachelor,3.65
794,Female,33,Bachelor,3.59
795,Female,22,Bachelor,3.94
796,Female,35,Bachelor,1.05
797,Male,49,Bachelor,1.11
798,Male,41,Master,3.84
799,Male,54,Bachelor,1.27
800,Female,27,Bachelor,4.42
801,Male,27,High School,2.97
802,Male,46,Bachelor,4.27
803,Female,33,Bachelor,2.9
804,Female,45,Master,3.79
805,Male,28,Bachelor,4.01
806,Male,60,Bachelor,1.9
807,Male,55,Bachelor,1.34
808,Female,44,High School,3.18
809,Male,44,Bachelor,3.49
810,Female,30,High School,1.14
811,Female,24,Master,2.08
812,Male,27,High School,3.92
813,Male,24,Bachelor,1.23
814,Female,31,High School,3.02
815,Female,26,PhD,2.29
816,Female,54,Bachelor,4.87
817,Male,51,Bachelor,3.79
818,Male,44,High School,1.22
819,Male,32,Bachelor,3.88
820,Male,31,Bachelor,4.13
821,Male,25,Bachelor,1.74
822,Male,32,Master,3.5
823,Female,54,Bachelor,3.27
824,Female,29,Master,3.59
825,Male,22,High School,4.2
826,Male,59,Bachelor,4.6
827,Female,58,Bachelor,2.74
828,Female,51,Master,3.44
829,Female,48,Bachelor,2.55
830,Female,28,Bachelor,2.24
831,Female,47,Master,3.27
832,Female,37,Bachelor,1.38
833,Male,34,High School,2.98
834,Male,52,Bachelor,1.46
835,Female,60,Bachelor,4.94
836,Male,38,Bachelor,4.27
837,Male,30,Bachelor,2.85
838,Female,47,Bachelor,1.32
839,Female,37,Bachelor,3.64
840,Female,44,High School,3.99
841,Male,39,High School,1.17
842,Male,42,Master,1.47
843,Female,29,Bachelor,2.17
844,Female,53,High School,2.38
845,Male,59,Master,2.56
846,Male,37,Bachelor,4.67
847,Male,30,High School,4.46
848,Male,40,PhD,2.56
849,Male,38,High School,2.28
850,Female,53,Bachelor,4.29
851,Female,35,Bachelor,3.07
852,Female,54,Bachelor,4.04
853,Other,40,High School,3.01
854,Female,44,PhD,1.93
855,Female,45,Bachelor,4.87
856,Female,59,High School,4.85
857,Male,33,High School,1.61
858,Female,24,High School,4.62
859,Male,56,Bachelor,2.15
860,Male,42,Master,2.98
861,Female,59,Bachelor,4.12
862,Female,44,Bachelor,3.52
863,Male,37,PhD,1.28
864,Female,50,Bachelor,1.5
865,Male,35,Bachelor,3.98
866,Male,25,Bachelor,3.06
867,Male,32,High School,1.01
868,Male,26,Master,3.02
869,Female,54,Bachelor,2.92
870,Female,45,Bachelor,2.42
871,Male,33,Bachelor,1.56
872,Female,57,Bachelor,3.27
873,Female,51,Bachelor,2.31
874,Male,38,PhD,3.88
875,Female,34,Bachelor,2.54
876,Female,22,Master,2.77
877,Female,37,High School,4.88
878,Female,56,High School,3.32
879,Female,52,Bachelor,3.6
880,Male,22,Bachelor,1.3
881,Female,23,Bachelor,1.03
882,Male,48,Bachelor,1.16
883,Male,44,High School,3.6
884,Female,36,Bachelor,3.05
885,Female,26,High School,3.25
886,Male,53,Bachelor,3.92
887,Male,45,Bachelor,4.13
888,Female,46,Bachelor,2.21
889,Male,27,Master,1.5
890,Female,43,Bachelor,2.89
891,Male,23,Bachelor,1.3
892,Male,49,Bachelor,1.74
893,Male,57,Bachelor,3.0
894,Female,23,Bachelor,3.13
895,Male,34,Bachelor,1.93
896,Male,39,Master,4.82
897,Female,52,Bachelor,2.5
898,Female,50,Master,3.84
899,Female,60,Bachelor,4.79
