Employee_ID,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Promotions
261,3,8,13,0,2
262,25,10,10,50,1
263,39,7,1,0,0
264,30,29,7,0,1
265,46,2,11,100,0
266,24,17,6,0,0
267,29,24,10,25,0
268,6,11,1,100,2
269,23,29,9,75,2
270,4,20,2,0,0
271,40,22,6,0,0
272,25,19,5,0,0
273,18,28,3,75,2
274,30,23,10,50,1
275,21,8,7,75,0
276,19,25,5,25,2
277,2,15,2,100,2
278,19,20,11,50,0
279,0,19,0,25,1
280,6,13,7,75,2
281,15,15,13,25,0
282,20,5,2,75,0
283,10,23,0,100,2
284,45,24,1,50,2
285,49,29,2,25,2
286,24,1,14,50,1
287,19,25,9,100,2
288,37,21,6,0,0
289,30,27,8,25,2
290,24,23,7,0,0
291,44,23,5,25,2
292,25,29,1,100,1
293,39,27,12,0,0
294,14,9,3,25,2
295,0,25,1,50,0
296,10,29,13,50,2
297,39,8,4,0,1
298,36,1,0,75,0
299,40,6,14,50,1
300,6,23,12,100,1
301,49,7,11,25,0
302,36,17,9,75,1
303,40,17,12,100,2
304,43,5,11,25,0
305,0,5,1,100,1
306,11,21,14,50,1
307,23,17,14,25,1
308,29,28,13,25,0
309,35,4,1,0,0
310,19,1,9,100,2
311,15,5,9,100,2
312,26,29,9,100,0
313,0,26,12,50,0
314,11,1,0,25,0
315,5,25,2,0,2
316,9,14,1,0,2
317,29,6,12,100,2
318,36,13,9,75,0
319,20,1,9,50,1
320,13,4,6,100,1
321,5,26,2,100,1
322,7,0,12,75,1
323,30,9,10,0,1
324,6,21,14,75,2
325,15,15,10,75,1
326,24,9,9,100,2
327,21,11,8,25,2
328,8,19,2,25,0
329,15,21,10,100,1
330,21,4,9,25,2
331,25,11,7,25,0
332,46,0,7,75,1
333,46,1,9,100,1
334,9,28,1,0,2
335,2,4,1,75,1
336,26,6,8,75,2
337,4,0,3,100,1
338,7,26,7,50,1
339,47,9,14,25,0
340,26,14,3,100,0
341,31,3,1,75,0
342,17,1,7,100,0
343,39,11,1,25,1
344,20,1,6,0,0
345,15,16,13,25,0
346,15,19,10,75,0
347,15,9,3,100,2
348,7,28,0,75,0
349,19,15,0,0,1
350,41,17,13,75,0
351,44,23,3,50,2
352,10,27,4,75,0
353,3,18,5,0,2
354,15,18,13,0,1
355,18,15,9,0,1
356,10,14,0,0,2
357,6,23,6,100,2
358,28,10,11,100,0
359,39,24,12,100,1
360,12,7,13,50,2
361,42,26,12,25,1
362,21,25,10,50,1
363,6,13,0,75,2
364,2,8,8,25,1
365,3,24,2,75,1
366,39,18,9,0,2
367,10,23,5,25,2
368,17,8,11,100,0
369,11,15,6,100,0
370,21,10,12,50,2
371,14,2,2,0,0
372,49,12,1,0,1
373,19,3,7,25,0
374,17,25,13,100,1
375,18,16,10,50,0
376,9,16,13,75,0
377,12,1,14,75,2
378,49,28,2,75,0
379,25,14,13,0,0
380,14,10,5,75,2
381,40,25,1,0,2
382,23,23,13,0,2
383,12,12,3,25,1
384,8,20,10,100,1
385,28,17,14,50,1
386,11,23,4,25,1
387,37,11,14,50,1
388,3,7,5,75,2
389,6,10,7,75,1
390,36,14,9,50,2
391,11,20,4,50,2
392,33,11,3,25,0
393,11,10,3,25,2
394,8,23,4,75,2
395,2,5,0,0,2
396,4,20,11,25,1
397,33,25,12,0,1
398,8,27,7,25,0
399,41,3,2,25,2
400,27,6,3,50,2
401,5,21,12,100,0
402,23,7,8,25,2
403,34,9,7,100,0
404,1,1,3,25,1
405,2,7,1,25,1
406,2,17,14,0,0
407,30,10,5,50,2
408,22,1,2,0,1
409,47,28,12,25,1
410,15,29,6,50,0
411,16,19,6,0,2
412,29,16,8,75,1
413,12,29,2,50,0
414,5,23,2,25,2
415,36,19,10,0,2
416,14,16,11,25,1
417,13,24,2,75,0
418,7,24,8,50,2
419,13,10,7,100,2
420,45,25,7,50,0
421,1,13,13,25,0
422,26,16,3,0,1
423,25,5,14,75,0
424,49,8,14,25,0
425,0,23,7,75,0
426,38,10,8,50,2
427,46,21,4,100,0
428,12,6,2,50,1
429,30,23,13,50,1
430,23,27,9,25,2
431,9,26,6,0,1
432,22,24,9,50,0
433,32,9,10,25,0
434,26,5,1,75,0
435,35,2,5,75,2
436,10,2,7,50,0
437,36,2,0,0,2
438,2,3,13,25,0
439,18,10,11,25,0
440,16,12,10,50,0
441,26,18,9,100,1
442,33,4,3,75,0
443,37,11,5,25,1
444,36,17,0,0,2
445,27,5,13,25,1
446,47,11,4,25,1
447,40,12,5,25,1
448,49,9,6,50,0
449,41,27,0,0,0
450,36,14,3,0,1
451,4,6,13,100,1
452,24,7,11,0,1
453,4,18,7,75,2
454,19,27,5,75,1
455,21,28,1,75,1
456,43,13,4,75,0
457,27,3,6,25,0
458,46,9,4,75,1
459,23,27,6,50,2
460,26,18,0,75,0
461,37,28,11,50,2
462,39,21,8,100,2
463,31,3,7,75,1
464,7,12,7,100,2
465,15,13,2,75,2
466,0,1,7,25,1
467,48,28,13,25,2
468,4,28,6,0,2
469,19,0,6,50,1
470,26,23,5,50,1
471,7,15,5,75,0
472,12,28,1,50,1
473,2,2,1,50,0
474,8,2,8,75,2
475,23,22,0,0,1
476,44,8,2,0,2
477,29,7,7,75,0
478,34,11,13,25,2
479,37,25,14,0,0
480,35,0,0,75,2
481,30,26,2,25,0
482,10,24,2,75,0
483,4,17,9,75,0
484,37,21,12,0,2
485,37,22,9,50,1
486,35,15,6,0,1
487,12,1,5,50,1
488,12,14,0,0,0
489,16,6,0,0,1
490,1,2,0,50,2
491,21,25,0,100,1
492,21,20,14,0,2
493,1,21,12,75,2
494,17,3,10,25,1
495,20,7,5,100,0
496,40,23,10,50,2
497,9,10,5,100,1
498,25,18,6,50,0
499,47,0,8,0,1
500,48,15,5,0,0
501,13,9,8,75,0
502,8,18,8,0,0
503,16,22,10,100,0
504,35,28,10,25,0
505,24,0,3,0,2
506,27,2,9,75,0
507,5,22,5,25,2
508,41,20,13,50,0
509,33,5,9,100,0
510,0,0,3,75,1
511,37,2,0,0,2
512,6,18,11,25,0
513,29,14,5,0,0
514,48,3,13,0,2
515,25,5,2,75,1
516,17,11,1,25,2
517,41,25,12,50,2
518,28,16,14,100,0
519,12,0,10,0,2
520,8,16,4,100,2
521,49,9,9,75,2
522,38,23,10,25,1
523,4,4,3,75,2
524,11,26,10,50,2
525,28,14,12,75,1
526,19,18,9,100,1
527,30,20,6,25,2
528,3,11,9,75,0
529,36,0,5,100,0
530,12,4,8,0,1
531,23,20,14,75,1
532,7,3,3,75,0
533,45,21,9,100,1
534,12,25,11,25,1
535,46,21,0,75,0
536,14,10,12,50,0
537,37,29,5,75,1
538,17,25,6,0,2
539,4,13,7,100,0
540,12,29,1,25,2
541,6,20,4,75,0
542,31,10,10,100,1
543,32,26,12,75,2
544,8,9,8,50,0
545,41,12,7,100,0
546,25,11,13,75,2
547,19,28,9,0,1
548,12,5,4,25,0
549,15,23,12,0,1
550,16,11,4,0,2
551,13,24,14,50,1
552,16,22,0,100,2
553,39,2,4,25,0
554,1,27,5,100,1
555,7,23,2,50,2
556,33,6,12,0,1
557,5,14,9,75,1
558,2,6,8,50,0
559,45,1,1,25,2
560,13,24,14,100,2
561,12,23,14,0,2
562,18,13,12,100,2
563,15,0,6,0,2
564,27,25,13,0,0
565,36,25,14,25,0
566,26,11,2,75,0
567,5,12,10,100,1
568,35,1,7,0,0
569,2,3,9,75,1
570,14,29,14,50,2
571,35,18,3,100,1
572,40,24,13,75,0
573,12,6,14,50,0
574,0,20,5,100,1
575,35,19,14,75,2
576,12,7,6,75,1
577,39,6,14,100,0
578,34,20,11,100,1
579,11,23,4,25,1
580,1,8,12,75,2
581,20,19,14,25,1
582,8,27,14,75,2
583,23,25,8,75,1
584,19,17,9,100,0
585,47,4,4,100,1
586,8,9,7,50,1
587,46,13,3,0,0
588,10,6,3,0,0
589,2,9,12,50,0
590,49,11,11,50,0
591,28,7,3,50,1
592,22,12,8,75,2
593,36,11,4,75,2
594,16,28,1,50,2
595,44,24,0,0,0
596,35,4,13,100,0
597,17,18,7,75,2
598,11,16,1,75,2
599,48,20,9,50,1
600,4,25,10,75,2
601,42,7,10,75,2
602,16,5,1,0,2
603,49,24,5,25,2
604,19,11,2,25,1
605,9,20,6,100,2
606,1,3,12,75,0
607,41,21,12,25,1
608,30,9,5,25,2
609,42,17,3,25,2
610,15,20,8,100,1
611,7,19,7,75,2
612,46,14,9,100,1
613,32,17,11,25,2
614,0,1,7,0,1
615,16,0,6,25,1
616,9,13,9,0,1
617,44,28,12,75,1
618,24,9,2,50,1
619,29,7,7,25,0
620,21,5,1,0,0
621,0,10,3,0,0
622,26,19,0,0,0
623,44,28,12,50,2
624,38,23,9,50,1
625,27,9,6,50,0
626,12,21,1,25,2
627,4,14,14,50,1
628,45,17,0,0,0
629,41,22,10,100,1
630,35,21,3,50,2
631,41,16,8,0,1
632,30,1,1,0,0
633,30,3,6,50,1
634,39,1,4,75,0
635,35,2,3,0,0
636,16,25,8,25,2
637,19,8,0,50,2
638,38,25,8,50,1
639,35,26,4,0,2
640,17,20,12,100,1
641,16,10,5,0,2
642,39,6,11,25,1
643,2,20,3,50,0
644,26,3,5,0,0
645,17,22,6,100,2
646,14,16,10,100,2
647,39,19,0,0,0
648,2,1,5,75,2
649,46,23,14,75,1
650,15,23,12,100,0
651,43,23,0,100,2
652,12,11,9,0,0
653,38,27,3,25,2
654,1,11,5,25,2
655,27,7,8,100,2
656,34,25,6,100,0
657,30,10,8,0,1
658,2,15,3,100,2
659,3,26,4,50,0
660,41,4,7,100,2
661,23,3,2,0,2
662,48,16,3,75,1
663,8,9,5,75,1
664,41,8,14,100,2
665,25,20,13,75,0
666,10,19,2,75,1
667,9,7,14,0,0
668,12,16,4,0,1
669,22,26,5,50,0
670,49,16,7,100,2
671,6,22,14,100,0
672,49,17,6,100,0
673,0,26,3,100,2
674,42,23,1,75,1
675,1,27,10,0,2
676,28,27,6,50,2
677,37,6,0,0,2
678,3,10,5,50,1
679,46,28,12,25,1
680,18,26,14,0,0
681,47,23,7,75,1
682,21,7,6,75,0
683,26,23,2,25,0
684,42,23,8,25,1
685,10,10,13,50,0
686,24,15,6,75,2
687,14,26,1,25,1
688,49,23,0,50,0
689,31,18,6,100,0
690,9,26,5,50,2
691,28,2,6,0,2
692,20,28,7,50,0
693,48,6,12,50,1
694,0,11,5,100,2
695,10,10,10,0,0
696,35,6,9,25,1
697,19,16,4,25,0
698,12,13,4,100,1
699,26,13,10,0,2
700,43,8,6,25,0
701,7,5,9,100,0
702,27,16,8,75,0
703,31,6,1,50,0
704,47,14,14,100,2
705,25,2,4,75,2
706,21,19,13,75,2
707,48,28,2,50,2
708,47,17,12,75,1
709,26,2,11,0,0
710,25,17,10,75,1
711,35,0,10,50,1
712,28,6,1,25,0
713,0,27,0,100,1
714,35,8,4,75,0
715,35,13,2,50,1
716,19,3,2,0,1
717,29,14,6,50,1
718,14,0,0,50,2
719,24,17,0,75,1
720,3,2,11,25,0
721,1,17,3,25,1
722,45,15,11,25,2
723,20,7,3,75,1
724,16,12,1,75,2
725,24,28,9,0,2
726,20,29,1,25,2
727,27,21,14,75,1
728,48,25,5,25,2
729,28,16,8,0,2
730,40,9,9,75,1
731,13,27,2,100,0
732,8,10,2,0,0
733,7,28,11,0,0
734,36,8,3,50,0
735,34,25,13,0,0
736,9,17,4,75,2
737,21,20,13,0,2
738,27,17,10,100,1
739,32,25,9,50,0
740,41,2,7,25,1
741,47,24,11,100,1
742,21,27,6,75,0
743,25,11,13,100,1
744,40,5,3,25,1
745,44,19,12,25,1
746,23,15,12,75,0
747,37,4,6,75,2
748,23,15,2,25,2
749,23,28,7,25,1
750,11,11,6,25,1
751,2,9,0,25,0
752,34,29,4,50,0
753,3,24,1,50,1
754,30,6,4,25,2
755,4,21,9,100,2
756,35,0,8,50,0
757,5,12,11,100,1
758,9,21,14,75,1
759,44,3,2,0,0
760,0,19,13,50,2
761,43,14,0,25,1
762,44,22,3,75,2
763,29,22,9,0,0
764,12,13,0,25,2
765,33,8,2,75,0
766,1,7,11,100,2
767,26,15,9,25,0
768,35,11,9,75,0
769,47,22,6,0,2
770,32,12,5,75,1
771,5,11,6,25,2
772,18,29,11,25,1
773,35,6,1,0,2
774,25,15,0,100,2
775,4,6,1,0,2
776,46,25,6,100,2
777,48,25,13,100,1
778,13,5,1,25,1
779,22,16,13,75,2
780,39,26,13,100,2
781,25,26,11,25,1
782,28,3,4,100,1
783,20,22,13,0,0
784,33,0,9,75,2
785,9,19,2,0,2
786,5,1,10,50,2
787,12,16,12,0,1
788,43,6,6,0,0
789,10,4,1,100,1
790,26,7,11,75,2
791,23,5,2,100,2
792,22,29,8,0,0
793,17,23,3,25,2
794,41,7,5,100,0
795,35,24,4,0,2
796,29,3,8,0,2
797,14,8,2,75,0
798,4,3,6,100,1
799,19,1,5,50,1
800,30,0,8,100,1
801,42,27,11,100,2
802,11,16,14,75,1
803,41,0,6,0,1
804,24,17,4,75,1
805,37,24,3,0,2
806,23,9,1,25,1
807,2,4,14,100,1
808,21,7,8,100,2
809,24,9,13,100,0
810,28,10,10,100,1
811,40,11,14,25,0
812,37,11,11,0,1
813,23,14,2,75,2
814,32,26,8,0,0
815,18,27,1,75,1
816,6,16,4,75,2
817,42,22,4,75,0
818,14,20,11,0,2
819,8,22,4,75,0
820,11,28,12,50,1
821,48,25,5,50,1
822,4,28,9,100,1
823,17,2,14,25,1
824,38,19,2,100,1
825,32,16,3,50,0
826,5,17,0,75,1
827,12,21,7,0,2
828,4,26,4,75,0
829,11,11,14,25,1
830,25,28,14,100,1
831,17,5,6,75,1
832,30,16,12,50,0
833,20,19,7,25,2
834,25,12,11,75,0
835,18,18,14,75,2
836,36,7,14,100,2
837,22,25,2,50,0
838,24,8,12,0,1
839,44,3,13,100,1
840,44,10,8,25,1
841,24,20,14,50,0
842,44,25,6,0,2
843,46,0,3,75,2
844,49,10,9,25,0
845,0,11,12,25,2
846,15,21,6,0,1
847,40,3,3,75,0
848,39,3,6,50,2
849,40,27,12,0,2
850,29,24,1,0,1
851,7,25,13,25,0
852,18,12,10,50,1
853,25,22,6,50,1
854,28,20,11,75,0
855,18,16,12,25,1
856,43,5,9,50,1
857,0,8,12,0,0
858,21,2,2,100,2
859,30,26,3,25,1
860,33,20,10,50,0
861,3,5,5,75,0
862,35,6,14,75,1
863,9,16,2,75,1
864,33,25,10,50,2
865,49,0,11,50,0
866,24,7,13,75,2
867,1,4,8,25,2
868,16,5,1,50,1
869,40,15,0,100,1
870,49,24,3,25,2
871,19,12,8,100,1
872,18,12,3,50,2
873,31,27,0,0,0
874,44,0,1,0,1
875,21,19,10,0,0
876,10,18,6,75,2
877,23,6,10,75,2
878,29,11,2,100,0
879,47,29,4,0,2
880,3,2,9,0,2
881,27,1,5,25,1
882,21,21,9,100,2
883,16,4,13,75,1
884,36,21,0,100,1
885,44,7,12,0,2
886,26,25,3,50,2
887,22,21,3,100,0
888,28,26,5,75,0
889,3,29,8,100,0
890,29,20,14,100,1
891,29,0,4,0,1
892,20,21,7,0,0
893,4,25,13,50,1
894,16,0,0,0,1
895,10,21,11,75,0
896,45,16,10,0,1
897,48,19,14,75,2
898,26,20,8,25,0
899,49,9,7,100,0
900,16,2,0,75,2
901,46,6,14,100,0
902,15,19,7,100,2
903,15,23,8,75,0
904,34,23,5,100,0
905,18,3,10,0,1
906,2,9,14,75,2
907,44,26,4,100,2
908,21,23,11,25,2
909,4,10,10,50,0
910,20,2,9,50,2
911,19,2,4,50,0
912,33,13,10,0,1
913,48,1,11,50,0
914,33,8,1,100,2
915,15,26,8,75,2
916,32,29,12,0,2
917,40,17,13,50,0
918,7,1,2,75,2
919,7,29,13,50,1
920,47,8,3,75,0
921,40,16,4,25,2
922,2,11,5,25,1
923,17,14,8,50,1
924,8,27,12,75,2
925,32,27,11,50,1
926,22,21,4,0,2
927,19,26,10,100,0
928,31,10,5,0,0
929,9,19,6,75,2
930,43,23,7,0,2
931,9,18,14,25,1
932,13,5,3,0,2
933,13,25,1,50,1
934,42,12,8,75,1
935,4,9,7,25,1
936,38,1,2,25,2
937,44,29,8,0,1
938,19,13,2,100,1
939,40,18,5,75,0
940,29,18,2,50,0
941,1,4,6,75,0
942,13,11,4,0,1
943,3,23,10,100,2
944,7,2,5,50,1
945,37,7,7,100,0
946,25,22,0,25,0
947,12,19,10,75,0
948,24,0,5,0,0
949,19,28,6,100,1
950,38,8,4,50,0
951,5,1,3,50,1
952,33,14,14,75,2
953,8,18,4,0,1
954,28,8,6,0,2
955,41,8,1,75,1
956,35,19,1,100,0
957,8,14,9,0,2
958,17,1,1,50,2
959,7,6,13,0,1
960,29,26,9,25,2
961,44,9,3,75,2
962,22,6,0,0,0
963,23,6,2,75,0
964,31,14,8,25,0
965,22,8,10,0,0
966,41,4,13,100,2
967,34,23,9,100,1
968,49,2,14,75,0
969,14,22,8,100,0
970,14,8,9,75,0
971,28,11,14,100,2
972,17,1,11,75,0
973,31,19,3,75,2
974,7,20,1,0,0
975,46,19,6,100,1
976,31,4,11,50,1
977,32,8,5,75,1
978,32,5,11,75,0
979,36,19,13,0,0
980,7,9,4,0,2
981,24,14,2,75,0
982,14,1,3,50,2
983,9,4,8,75,1
984,5,27,14,100,0
985,35,7,7,50,2
986,41,7,13,50,2
987,21,14,10,100,2
988,38,21,6,75,2
989,9,8,4,75,1
990,47,28,12,100,0
991,48,12,0,50,2
992,33,20,0,100,1
993,1,10,4,50,1
994,29,3,3,50,2
995,5,5,0,100,2
996,27,20,3,25,0
997,14,8,2,100,1
998,35,2,6,75,1
999,4,20,3,50,1
1000,4,25,6,75,0
1001,13,18,11,0,2
1002,36,28,8,75,1
1003,48,20,4,100,0
1004,18,12,13,25,1
1005,17,8,14,100,2
1006,40,25,4,50,2
1007,36,27,1,0,0
1008,4,22,1,25,0
1009,17,3,14,0,1
1010,20,10,10,75,1
1011,32,13,5,0,2
1012,34,7,8,75,2
1013,29,22,7,25,1
1014,45,11,8,0,0
1015,23,8,6,100,1
1016,27,7,2,50,2
1017,27,22,5,0,0
1018,24,21,11,25,2
1019,3,22,1,100,0
1020,44,16,14,100,2
1021,0,3,4,100,0
1022,46,22,8,100,2
1023,16,27,13,75,1
1024,24,25,2,50,0
1025,33,9,13,0,2
1026,45,14,5,50,0
1027,33,5,14,25,1
1028,40,18,10,50,2
1029,42,13,0,75,0
1030,27,25,0,50,2
1031,30,19,9,100,2
1032,49,2,8,75,1
1033,47,16,4,50,1
1034,15,5,11,0,2
1035,36,28,8,100,0
1036,38,24,14,0,0
1037,4,20,9,0,0
1038,39,23,4,50,0
1039,5,10,10,100,2
1040,13,21,1,0,0
1041,37,1,3,50,1
1042,13,29,1,50,0
1043,12,2,7,0,2
1044,49,1,14,75,2
1045,6,7,10,50,1
1046,11,24,1,50,2
1047,18,18,2,25,1
1048,26,19,12,25,1
1049,27,3,0,50,0
1050,28,26,10,0,1
1051,0,14,13,50,2
1052,10,2,12,75,0
1053,6,2,10,100,2
1054,20,16,3,25,0
1055,29,3,11,75,1
1056,44,18,12,0,2
1057,28,25,4,0,2
1058,10,1,14,75,0
1059,20,22,6,50,1
1060,6,26,2,0,1
1061,32,10,1,50,1
1062,41,18,4,25,0
1063,42,26,11,25,1
1064,40,9,9,75,1
1065,22,25,1,25,2
1066,48,10,6,50,0
1067,12,27,8,100,0
1068,24,9,11,50,0
1069,41,25,5,25,1
1070,15,16,1,50,1
1071,30,8,3,0,1
1072,30,18,7,0,0
1073,35,5,11,0,1
1074,29,15,12,100,0
1075,35,8,4,75,1
1076,31,26,4,100,0
1077,36,2,5,50,0
1078,34,12,5,0,0
1079,2,3,10,0,2
1080,0,28,9,50,1
1081,37,29,4,75,2
1082,42,14,4,100,1
1083,46,2,2,0,0
1084,32,24,2,100,2
1085,28,24,1,100,1
1086,5,23,3,50,0
1087,43,26,13,50,0
1088,22,21,0,75,0
1089,32,17,1,0,1
1090,2,21,14,0,2
1091,6,23,3,50,2
1092,17,9,0,100,1
1093,25,4,8,75,1
1094,10,29,3,75,0
1095,18,10,5,25,2
1096,21,12,14,100,0
1097,36,22,8,100,0
1098,6,18,1,75,1
1099,37,29,5,100,1
1100,36,29,10,0,2
1101,6,3,5,0,1
1102,14,25,6,50,2
1103,48,29,4,25,0
1104,2,7,10,25,0
1105,37,11,0,25,2
1106,9,21,5,50,1
1107,13,8,9,0,1
1108,9,4,11,100,2
1109,24,4,3,25,0
1110,40,20,8,50,2
1111,42,23,14,25,2
1112,26,4,11,0,1
1113,27,14,7,50,2
1114,7,25,4,0,0
1115,47,5,12,100,0
1116,48,4,3,75,2
1117,21,17,8,0,1
1118,40,19,9,75,0
1119,21,17,14,100,2
1120,19,14,14,50,1
1121,6,18,4,0,2
1122,25,26,2,75,0
1123,1,13,4,50,1
1124,39,8,4,50,2
1125,6,29,7,100,0
1126,26,6,11,100,0
1127,30,14,8,50,2
1128,4,19,7,100,0
1129,0,8,9,100,2
1130,29,28,6,75,0
1131,17,5,3,75,1
1132,16,11,7,75,2
1133,45,16,14,0,1
1134,17,12,0,50,0
1135,13,5,7,0,1
1136,19,6,8,0,2
1137,32,22,6,50,1
1138,31,3,6,50,0
1139,2,3,6,50,2
1140,42,25,10,100,0
1141,20,9,7,0,2
1142,37,13,5,75,2
1143,47,12,5,25,0
1144,40,17,13,25,0
1145,33,23,13,25,2
1146,10,20,0,0,2
