Employee_ID,Monthly_Salary,Performance_Score,Work_Hours_Per_Week,Projects_Handled,Training_Hours
74,6000.0,2,37,6,8
75,6600.0,2,31,6,1
76,7700.0,4,55,36,84
77,4550.0,3,32,46,82
78,7500.0,5,42,28,38
79,7150.0,3,60,36,94
80,4950.0,1,31,27,53
81,6500.0,3,38,12,94
82,5850.0,3,40,19,0
83,4800.0,2,35,24,85
84,4400.0,1,53,38,67
85,5400.0,2,44,16,0
86,8400.0,4,33,11,40
87,4550.0,3,59,1,59
88,4200.0,2,33,45,12
89,7200.0,2,31,1,22
90,8400.0,4,33,11,53
91,6600.0,2,44,42,26
92,5500.0,1,42,11,84
93,8400.0,4,54,9,3
94,6300.0,4,44,19,81
95,5500.0,1,47,4,33
96,7800.0,3,49,24,43
97,5850.0,3,45,24,0
98,7800.0,3,41,31,64
99,6000.0,2,50,33,37
100,7800.0,3,36,9,30
101,8400.0,4,35,0,48
102,6050.0,1,54,31,48
103,7150.0,3,49,45,57
104,7700.0,4,59,44,53
105,3850.0,1,58,1,29
106,8400.0,4,36,1,10
107,7000.0,4,34,8,1
108,8400.0,4,56,26,12
109,6050.0,1,51,24,82
110,8250.0,5,50,32,56
111,4200.0,2,48,33,75
112,4400.0,1,31,5,34
113,4900.0,4,34,14,59
114,7700.0,4,43,14,31
115,5400.0,2,32,24,88
116,6000.0,5,43,5,96
117,9000.0,5,33,4,44
118,7700.0,4,54,44,81
119,9000.0,5,49,12,4
120,5850.0,3,47,15,65
121,4950.0,1,49,2,23
122,3850.0,1,30,42,13
123,8400.0,4,53,11,60
124,7700.0,4,35,31,19
125,7800.0,3,46,4,36
126,5500.0,1,56,6,60
127,6600.0,2,50,44,35
128,6600.0,2,59,27,44
129,7500.0,5,45,8,66
130,6600.0,1,39,10,66
131,6750.0,5,34,14,97
132,5250.0,5,52,14,34
133,7800.0,3,49,9,92
134,6600.0,2,55,41,44
135,6600.0,2,39,24,63
136,6000.0,5,56,28,94
137,4800.0,2,46,21,9
138,9000.0,5,40,9,34
139,4200.0,2,34,24,22
140,4950.0,1,44,4,11
141,4800.0,2,35,20,16
142,5850.0,3,52,6,45
143,5400.0,2,35,27,93
144,5200.0,3,48,49,64
145,6050.0,1,53,18,46
146,6600.0,2,41,30,80
147,6600.0,1,39,41,1
148,5200.0,3,56,26,34
149,3850.0,1,59,3,78
150,4400.0,1,57,17,92
151,7700.0,4,52,11,19
152,8400.0,4,35,10,51
153,5250.0,5,37,49,21
154,5850.0,3,49,19,15
155,7800.0,3,53,49,30
156,4950.0,1,57,30,70
157,6600.0,1,34,5,71
158,4400.0,1,55,45,11
159,3850.0,1,31,36,98
160,8400.0,4,52,28,27
161,6600.0,1,39,43,70
162,5250.0,5,56,35,41
163,5250.0,5,32,46,29
164,4400.0,1,43,33,53
165,4800.0,2,54,26,43
166,5850.0,3,50,29,47
167,8400.0,4,51,44,78
168,6000.0,5,49,48,93
169,6300.0,4,53,17,84
170,5250.0,5,50,22,49
171,7800.0,3,57,49,52
172,6000.0,2,52,23,50
173,6000.0,2,39,17,63
174,6750.0,5,35,30,16
175,4800.0,2,56,48,42
176,6500.0,3,57,14,16
177,7150.0,3,40,2,99
178,5600.0,4,40,42,47
179,4200.0,2,52,21,79
180,7200.0,2,31,36,36
181,3850.0,1,36,13,67
182,7200.0,2,48,38,56
183,4900.0,4,33,26,21
184,9000.0,5,41,27,62
185,4550.0,3,38,30,56
186,8400.0,4,35,37,59
187,8400.0,4,41,28,38
188,5400.0,2,54,14,97
189,5400.0,2,33,47,11
190,6050.0,1,39,24,4
191,5600.0,4,46,18,12
192,4800.0,2,39,49,64
193,4950.0,1,59,2,99
194,4800.0,2,57,28,85
195,6750.0,5,53,19,61
196,9000.0,5,59,16,26
197,3850.0,1,37,9,15
198,6000.0,5,43,14,42
199,5500.0,1,44,40,56
200,6050.0,1,36,4,38
201,6000.0,5,30,12,26
202,5850.0,3,52,28,14
203,6600.0,2,47,5,87
204,4800.0,2,34,19,37
205,3850.0,1,32,39,40
206,7200.0,2,44,10,88
207,8400.0,4,55,28,66
208,5500.0,1,30,20,64
209,6500.0,3,55,49,75
210,6600.0,2,58,39,23
211,6300.0,4,41,47,98
212,7200.0,2,44,27,52
213,7000.0,4,32,16,21
214,6750.0,5,49,5,99
215,6500.0,3,34,25,69
216,7800.0,3,40,0,74
217,7200.0,2,54,12,5
218,5600.0,4,42,7,7
219,9000.0,5,55,12,95
220,8400.0,4,35,0,82
221,6600.0,2,34,41,9
222,7500.0,5,32,7,14
223,4400.0,1,45,35,52
224,8400.0,4,36,22,43
225,4950.0,1,30,21,29
226,9000.0,5,53,0,65
227,9000.0,5,45,47,69
228,6000.0,2,40,37,53
229,7700.0,4,47,29,7
230,9000.0,5,41,8,70
231,7800.0,3,58,9,56
232,5200.0,3,56,34,80
233,4200.0,2,46,28,29
234,5600.0,4,58,38,58
235,5600.0,4,36,12,91
236,5250.0,5,57,3,29
237,3850.0,1,53,30,33
238,8400.0,4,38,9,37
239,7700.0,4,53,17,55
240,8400.0,4,56,27,90
241,6500.0,3,54,12,32
242,6600.0,1,41,10,8
243,6000.0,2,39,38,33
244,4800.0,2,38,44,31
245,9000.0,5,48,9,65
246,6300.0,4,55,46,87
247,4900.0,4,30,33,18
248,4800.0,2,57,36,37
249,7150.0,3,35,43,75
250,4550.0,3,51,28,84
251,4200.0,2,38,27,20
252,6050.0,1,59,44,25
253,5850.0,3,50,13,57
254,7700.0,4,43,31,37
255,5500.0,1,47,12,3
256,7700.0,4,52,13,81
257,5400.0,2,31,19,12
258,5850.0,3,59,19,78
259,5250.0,5,46,39,57
260,7200.0,2,60,25,94
261,6000.0,2,60,3,93
262,3850.0,1,40,25,89
263,6000.0,2,59,39,9
264,8400.0,4,39,30,18
265,8400.0,4,35,46,81
266,5250.0,5,40,24,4
267,5500.0,1,38,29,76
268,7200.0,2,59,6,32
269,4200.0,2,50,23,69
270,7800.0,3,39,4,57
271,5850.0,3,39,40,19
272,6050.0,1,57,25,25
273,9000.0,5,35,18,5
274,6600.0,1,58,30,33
275,4900.0,4,33,21,12
276,7700.0,4,59,19,53
277,8400.0,4,42,2,74
278,7150.0,3,55,19,66
279,6500.0,3,44,0,48
280,6600.0,2,56,6,49
281,4400.0,1,51,15,36
282,8250.0,5,33,20,42
283,7800.0,3,55,10,45
284,4900.0,4,53,45,75
285,7800.0,3,40,49,66
286,6600.0,1,59,24,2
287,7700.0,4,58,19,58
288,6000.0,5,50,37,66
289,9000.0,5,32,30,94
290,5600.0,4,43,24,5
291,7700.0,4,51,44,88
292,5200.0,3,31,25,46
293,6500.0,3,47,39,33
294,7700.0,4,55,14,2
295,6300.0,4,36,0,39
296,7150.0,3,56,10,21
297,7700.0,4,34,39,35
298,4400.0,1,34,36,76
299,7200.0,2,51,40,92
300,4200.0,2,45,6,23
301,6000.0,2,33,49,68
302,7500.0,5,55,36,62
303,6000.0,5,57,40,19
304,6050.0,1,51,43,94
305,4400.0,1,31,0,20
306,7500.0,5,51,11,77
307,3850.0,1,40,23,26
308,4400.0,1,35,29,30
309,7200.0,2,45,35,53
310,6600.0,2,55,19,76
311,6500.0,3,49,15,84
312,7800.0,3,54,26,57
313,6050.0,1,35,0,90
314,5600.0,4,41,11,84
315,7200.0,2,51,5,57
316,5600.0,4,50,9,71
317,6600.0,2,44,29,28
318,6600.0,1,60,36,66
319,7800.0,3,36,20,52
320,7800.0,3,60,13,34
321,4950.0,1,34,5,41
322,6050.0,1,41,7,37
323,9000.0,5,36,30,3
324,6050.0,1,52,6,58
325,5600.0,4,39,15,87
326,7000.0,4,30,24,74
327,7700.0,4,57,21,65
328,7500.0,5,52,8,42
329,6600.0,2,59,15,42
330,6300.0,4,38,21,26
331,8250.0,5,58,25,4
332,4900.0,4,39,46,3
333,8400.0,4,34,46,68
334,4200.0,2,51,9,45
335,8250.0,5,51,2,86
336,6600.0,2,50,26,83
337,6600.0,1,48,4,26
338,5500.0,1,53,7,51
339,5850.0,3,38,47,67
340,6300.0,4,45,26,22
341,6600.0,1,36,31,59
342,7200.0,2,55,17,20
343,9000.0,5,50,39,6
344,5200.0,3,52,20,86
345,7000.0,4,36,15,36
346,5200.0,3,46,15,73
347,5200.0,3,50,15,97
348,7150.0,3,39,7,57
349,4900.0,4,56,19,81
350,7200.0,2,59,41,9
351,7000.0,4,55,44,89
352,6600.0,1,54,10,32
353,5850.0,3,34,3,68
354,4800.0,2,55,15,41
355,5250.0,5,50,18,11
356,5500.0,1,54,10,94
357,6300.0,4,34,6,63
358,5250.0,5,43,28,90
359,4550.0,3,44,39,35
360,6600.0,2,38,12,10
361,7200.0,2,54,42,42
362,6300.0,4,40,21,91
363,6750.0,5,45,6,92
364,9000.0,5,47,2,37
365,4550.0,3,32,3,98
366,7800.0,3,48,39,0
367,3850.0,1,42,10,28
368,8400.0,4,43,17,74
369,7800.0,3,58,11,54
370,8400.0,4,44,21,88
371,7150.0,3,34,14,80
372,6750.0,5,47,49,27
373,4950.0,1,57,19,0
374,7800.0,3,49,17,7
375,8400.0,4,43,18,11
376,4400.0,1,55,9,80
377,7200.0,2,35,12,7
378,7000.0,4,57,49,29
379,6600.0,1,33,25,40
380,4950.0,1,41,14,87
381,4550.0,3,33,40,43
382,4950.0,1,43,23,32
383,5850.0,3,55,12,58
384,6500.0,3,33,8,88
385,7800.0,3,39,28,61
386,7800.0,3,42,11,31
387,9000.0,5,32,37,64
388,7200.0,2,53,3,25
389,4900.0,4,50,6,95
390,6000.0,2,44,36,89
391,7800.0,3,32,11,76
392,7800.0,3,43,33,85
393,4550.0,3,58,11,67
394,8400.0,4,54,8,25
395,8400.0,4,35,2,19
396,5500.0,1,58,4,97
397,7000.0,4,40,33,96
398,4900.0,4,59,8,29
399,3850.0,1,52,41,12
400,4200.0,2,48,27,7
401,5850.0,3,42,5,74
402,7200.0,2,43,23,70
403,7700.0,4,56,34,60
404,5850.0,3,45,1,40
405,8250.0,5,44,2,66
406,7800.0,3,42,2,73
407,4800.0,2,42,30,24
408,6500.0,3,41,22,41
409,4800.0,2,55,47,51
410,5400.0,2,52,15,13
411,9000.0,5,44,16,88
412,5250.0,5,59,29,18
413,5500.0,1,54,12,55
414,5600.0,4,41,5,47
415,5250.0,5,44,36,97
416,6000.0,2,34,14,9
417,7200.0,2,54,13,93
418,5850.0,3,32,7,94
419,9000.0,5,56,13,86
420,8400.0,4,33,45,58
421,5250.0,5,57,1,63
422,4550.0,3,55,26,43
423,6600.0,1,30,25,2
424,8400.0,4,37,49,62
425,6000.0,2,37,0,48
426,7200.0,2,40,38,28
427,7500.0,5,49,46,41
428,8400.0,4,41,12,19
429,7200.0,2,60,30,12
430,7200.0,2,31,23,4
431,6000.0,2,58,9,57
432,7000.0,4,36,22,27
433,6050.0,1,51,32,45
434,4900.0,4,59,26,5
435,5850.0,3,54,35,75
436,8400.0,4,46,10,85
437,7150.0,3,36,36,5
438,9000.0,5,45,2,50
439,4400.0,1,43,18,26
440,9000.0,5,32,16,5
441,8250.0,5,37,26,12
442,4800.0,2,49,33,54
443,8400.0,4,59,37,40
444,5600.0,4,58,36,7
445,8400.0,4,51,27,10
446,6300.0,4,36,47,88
447,7700.0,4,43,40,37
448,6000.0,2,38,49,62
449,7700.0,4,60,41,93
450,4900.0,4,45,36,7
451,6600.0,1,48,4,78
452,5400.0,2,32,24,53
453,4950.0,1,58,4,59
454,7500.0,5,42,19,28
455,7000.0,4,45,21,68
456,9000.0,5,33,43,94
457,4200.0,2,52,27,4
458,7700.0,4,55,46,40
459,7700.0,4,31,23,60
460,7200.0,2,39,26,67
461,5200.0,3,56,37,98
462,5500.0,1,49,39,74
463,8400.0,4,48,31,62
464,7150.0,3,56,7,64
465,5850.0,3,30,15,35
466,7800.0,3,53,0,5
467,6750.0,5,32,48,99
468,8250.0,5,52,4,48
469,6600.0,2,42,19,54
470,6000.0,5,43,26,48
471,7000.0,4,40,7,22
472,6300.0,4,48,12,27
473,8400.0,4,51,2,64
474,7700.0,4,57,8,70
475,7700.0,4,44,23,6
476,4550.0,3,57,44,58
477,7800.0,3,40,29,3
478,4950.0,1,35,34,26
479,4800.0,2,43,37,10
480,8250.0,5,31,35,42
481,8400.0,4,49,30,39
482,5850.0,3,55,10,48
483,7800.0,3,52,4,34
484,6050.0,1,55,37,26
485,6750.0,5,39,37,8
486,7150.0,3,33,35,80
487,5250.0,5,59,12,20
488,6050.0,1,43,12,86
489,5400.0,2,34,16,97
490,5600.0,4,37,1,11
491,6050.0,1,38,21,99
492,7800.0,3,42,21,7
493,6600.0,1,56,1,64
494,6300.0,4,40,17,88
495,5400.0,2,34,20,37
496,7000.0,4,31,40,69
497,6600.0,2,55,9,26
498,5600.0,4,51,25,48
499,5850.0,3,46,47,62
500,6000.0,5,46,48,97
501,6750.0,5,31,13,90
502,4200.0,2,51,8,98
503,6600.0,2,47,16,19
504,6300.0,4,45,35,36
505,4400.0,1,52,24,39
506,5250.0,5,51,27,87
507,9000.0,5,39,5,45
508,6600.0,1,35,41,51
509,6050.0,1,32,33,57
510,4950.0,1,57,0,7
511,8250.0,5,38,37,15
512,5400.0,2,60,6,74
513,7200.0,2,42,29,72
514,6600.0,2,46,48,51
515,7150.0,3,44,25,30
516,8250.0,5,48,17,44
517,8400.0,4,38,41,3
518,5500.0,1,32,28,93
519,7500.0,5,34,12,47
520,5500.0,1,53,8,56
521,6600.0,2,54,49,57
522,4400.0,1,53,38,28
523,8250.0,5,49,4,81
524,6300.0,4,30,11,12
525,8250.0,5,56,28,48
526,3850.0,1,36,19,67
527,8400.0,4,52,30,51
528,6600.0,1,30,3,6
529,6500.0,3,35,36,68
530,6000.0,2,57,12,22
531,7200.0,2,48,23,88
532,7800.0,3,44,7,87
533,7200.0,2,38,45,39
534,7000.0,4,52,12,97
535,6600.0,2,48,46,47
536,4950.0,1,52,14,26
537,4200.0,2,45,37,89
538,7800.0,3,49,17,57
539,5250.0,5,59,4,29
540,4900.0,4,30,12,89
541,7200.0,2,36,6,2
542,5850.0,3,43,31,26
543,4950.0,1,40,32,42
544,6000.0,2,40,8,3
545,5500.0,1,57,41,45
546,6600.0,1,41,25,5
547,4950.0,1,49,19,79
548,5200.0,3,52,12,31
549,4950.0,1,59,15,81
550,7200.0,2,31,16,62
551,5400.0,2,54,13,59
552,5200.0,3,54,16,17
553,6000.0,2,38,39,46
554,9000.0,5,40,1,7
555,3850.0,1,52,7,96
556,6000.0,5,42,33,19
557,5400.0,2,40,5,90
558,6750.0,5,40,2,98
559,4200.0,2,36,45,34
560,5500.0,1,31,13,40
561,6600.0,1,47,12,37
562,4950.0,1,40,18,61
563,4400.0,1,40,15,12
564,4550.0,3,49,27,20
565,5200.0,3,60,36,3
566,5250.0,5,41,26,60
567,5250.0,5,50,5,75
568,8400.0,4,60,35,52
569,6750.0,5,32,2,2
570,7000.0,4,46,14,87
571,7000.0,4,39,35,5
572,6600.0,1,57,40,23
573,4800.0,2,34,12,56
574,5600.0,4,40,0,92
575,9000.0,5,53,35,31
576,6000.0,5,43,12,5
577,4900.0,4,30,39,47
578,5850.0,3,33,34,0
579,5500.0,1,41,11,84
580,5400.0,2,40,1,77
581,5200.0,3,47,20,35
582,5400.0,2,32,8,86
583,9000.0,5,57,23,13
584,5500.0,1,45,19,32
585,5850.0,3,40,47,71
586,8400.0,4,60,8,37
587,6000.0,2,44,46,14
588,4400.0,1,59,10,20
589,6050.0,1,45,2,15
590,6000.0,5,45,49,62
591,6050.0,1,51,28,90
592,8250.0,5,34,22,15
593,6500.0,3,45,36,39
594,5600.0,4,33,16,25
595,5500.0,1,39,44,8
596,8400.0,4,47,35,28
597,4550.0,3,40,17,18
598,5250.0,5,35,11,56
599,6500.0,3,40,48,64
600,5250.0,5,52,4,38
601,6500.0,3,59,42,69
602,7500.0,5,30,16,95
603,4400.0,1,41,49,8
604,6600.0,2,42,19,19
605,9000.0,5,34,9,41
606,8400.0,4,49,1,75
607,7200.0,2,39,41,53
608,3850.0,1,59,30,2
609,3850.0,1,34,42,33
610,3850.0,1,33,15,16
611,6600.0,1,55,7,15
612,5250.0,5,52,46,46
613,6500.0,3,55,32,95
614,5200.0,3,45,0,77
615,5400.0,2,30,16,69
616,4900.0,4,50,9,29
617,7200.0,2,34,44,27
618,6050.0,1,48,24,50
619,6600.0,2,59,29,23
620,3850.0,1,55,21,40
621,6300.0,4,58,0,49
622,6050.0,1,51,26,39
623,7000.0,4,60,44,34
624,5250.0,5,59,38,37
625,9000.0,5,55,27,75
626,6050.0,1,52,12,17
627,7800.0,3,43,4,82
628,9000.0,5,50,45,16
629,9000.0,5,43,41,87
630,7800.0,3,31,35,97
631,4400.0,1,43,41,37
632,7200.0,2,60,30,24
633,4550.0,3,37,30,73
634,8250.0,5,56,39,39
635,4950.0,1,47,35,28
636,7500.0,5,39,16,64
637,5600.0,4,47,19,24
638,5400.0,2,53,38,70
639,8250.0,5,44,35,88
640,5600.0,4,38,17,96
641,7200.0,2,49,16,63
642,8400.0,4,43,39,11
643,8400.0,4,35,2,55
644,7200.0,2,44,26,97
645,7200.0,2,31,17,59
646,4900.0,4,60,14,19
647,5250.0,5,50,39,19
648,7700.0,4,47,2,54
649,7000.0,4,44,46,15
650,6000.0,2,53,15,90
651,6500.0,3,57,43,99
652,4950.0,1,36,12,30
653,4950.0,1,47,38,75
654,4400.0,1,40,1,89
655,6000.0,5,31,27,81
656,4800.0,2,46,34,23
657,4900.0,4,59,30,59
658,4400.0,1,41,2,94
659,9000.0,5,49,3,86
660,8400.0,4,46,41,23
661,7150.0,3,34,23,63
662,4400.0,1,57,48,18
663,4400.0,1,40,8,29
664,7800.0,3,33,41,89
665,5250.0,5,36,25,87
666,4900.0,4,48,10,10
667,4400.0,1,56,9,30
668,3850.0,1,31,12,99
669,6050.0,1,53,22,98
670,5500.0,1,37,49,58
671,5400.0,2,59,6,22
672,7150.0,3,40,49,98
673,6000.0,5,42,0,83
674,6600.0,2,48,42,79
675,6000.0,2,41,1,67
676,7800.0,3,35,28,67
677,7800.0,3,57,37,25
678,6600.0,2,41,3,74
679,7150.0,3,51,46,21
680,4800.0,2,37,18,33
681,6050.0,1,33,47,16
682,4200.0,2,33,21,31
683,5250.0,5,34,26,63
684,7000.0,4,52,42,72
685,5250.0,5,33,10,48
686,6600.0,1,47,24,93
687,4900.0,4,57,14,66
688,6050.0,1,57,49,50
689,7800.0,3,43,31,15
690,4900.0,4,49,9,3
691,7200.0,2,34,28,6
692,8400.0,4,44,20,92
693,5500.0,1,49,48,94
694,4400.0,1,30,0,47
695,9000.0,5,40,10,81
696,7800.0,3,47,35,69
697,6050.0,1,52,19,53
698,7200.0,2,60,12,32
699,4900.0,4,31,26,95
700,7200.0,2,56,43,90
701,6000.0,5,52,7,96
702,7000.0,4,48,27,0
703,5850.0,3,39,31,60
704,7700.0,4,36,47,55
705,5500.0,1,53,25,48
706,6000.0,2,33,21,25
707,5600.0,4,57,48,56
708,9000.0,5,46,47,41
709,8250.0,5,40,26,53
710,6300.0,4,40,25,73
711,8400.0,4,56,35,96
712,7800.0,3,34,28,74
713,6750.0,5,36,0,46
714,7700.0,4,47,35,88
715,6500.0,3,31,35,53
716,7700.0,4,38,19,39
717,6050.0,1,30,29,36
718,7800.0,3,60,14,19
719,6000.0,2,60,24,14
720,7800.0,3,52,3,37
721,6600.0,1,48,1,51
722,8400.0,4,34,45,56
723,3850.0,1,53,20,84
724,6600.0,2,50,16,19
725,7150.0,3,33,24,2
726,7800.0,3,35,20,65
727,4800.0,2,53,27,63
728,5600.0,4,39,48,4
729,4550.0,3,50,28,44
730,4200.0,2,47,40,31
731,6300.0,4,31,13,10
732,5850.0,3,59,8,92
733,4900.0,4,42,7,9
734,7500.0,5,49,36,71
735,8400.0,4,38,34,81
736,4950.0,1,43,9,90
737,6000.0,2,59,21,43
738,5850.0,3,50,27,65
739,5200.0,3,59,32,89
740,7800.0,3,59,41,8
741,9000.0,5,54,47,71
742,9000.0,5,48,21,63
743,9000.0,5,40,25,75
744,5600.0,4,31,40,89
745,8400.0,4,55,44,68
746,4900.0,4,54,23,54
747,9000.0,5,40,37,74
748,7200.0,2,38,23,86
749,3850.0,1,44,23,32
750,6600.0,2,32,11,71
751,7800.0,3,49,2,63
752,6600.0,1,43,34,43
753,6600.0,1,53,3,59
754,5400.0,2,31,30,0
755,6600.0,2,53,4,75
756,6600.0,1,41,35,86
757,4800.0,2,46,5,68
758,9000.0,5,56,9,89
759,6600.0,2,46,44,31
760,6750.0,5,56,0,43
761,7800.0,3,37,43,2
762,8250.0,5,34,44,19
763,5400.0,2,44,29,26
764,5250.0,5,51,12,51
765,4950.0,1,43,33,55
766,6750.0,5,56,1,42
767,6000.0,5,34,26,68
768,4200.0,2,58,35,83
769,7700.0,4,54,47,42
770,5200.0,3,42,32,68
771,3850.0,1,35,5,62
772,6750.0,5,37,18,36
773,7800.0,3,45,35,56
774,4200.0,2,36,25,27
775,6500.0,3,37,4,29
776,3850.0,1,31,46,44
777,5400.0,2,50,48,98
778,7000.0,4,33,13,84
779,5850.0,3,32,22,24
780,7500.0,5,51,39,34
781,6300.0,4,43,25,10
782,7200.0,2,31,28,15
783,6000.0,2,43,20,8
784,4800.0,2,37,33,7
785,4950.0,1,57,9,62
786,4800.0,2,51,5,16
787,6500.0,3,35,12,1
788,6300.0,4,58,43,66
789,9000.0,5,38,10,49
790,4550.0,3,49,26,33
791,5200.0,3,52,23,64
792,5400.0,2,31,22,25
793,8400.0,4,48,17,80
794,6300.0,4,41,41,30
795,4950.0,1,46,35,56
796,7200.0,2,52,29,87
797,5400.0,2,32,14,43
798,7150.0,3,43,4,0
799,6050.0,1,50,19,3
800,7000.0,4,33,30,17
801,4950.0,1,50,42,20
802,5400.0,2,49,11,29
803,6750.0,5,59,41,81
804,8250.0,5,39,24,54
805,7200.0,2,43,37,55
806,4950.0,1,44,23,74
807,7800.0,3,40,2,95
808,8400.0,4,41,21,93
809,6050.0,1,57,24,16
810,7800.0,3,57,28,29
811,5500.0,1,42,40,81
812,4550.0,3,30,37,41
813,7800.0,3,48,23,5
814,7150.0,3,60,32,37
815,5600.0,4,40,18,55
816,6050.0,1,56,6,42
817,8250.0,5,51,42,40
818,4900.0,4,55,14,79
819,5250.0,5,54,8,78
820,4950.0,1,45,11,65
821,4900.0,4,33,48,70
822,7500.0,5,39,4,98
823,6750.0,5,50,17,32
824,5400.0,2,57,38,54
825,9000.0,5,52,32,27
826,4900.0,4,34,5,2
827,5850.0,3,30,12,68
828,4900.0,4,37,4,89
829,4400.0,1,35,11,50
830,5200.0,3,51,25,34
831,6600.0,1,56,17,45
832,5400.0,2,30,30,86
833,4400.0,1,39,20,54
834,4900.0,4,34,25,54
835,9000.0,5,60,18,16
836,4550.0,3,56,36,42
837,6300.0,4,45,22,89
838,6000.0,5,30,24,88
839,6600.0,1,53,44,85
840,6600.0,1,39,44,7
841,4400.0,1,33,24,21
842,4950.0,1,57,44,43
843,9000.0,5,60,46,7
844,5200.0,3,58,49,45
845,9000.0,5,36,0,23
846,5400.0,2,58,15,32
847,6500.0,3,48,40,42
848,8400.0,4,50,39,81
849,4950.0,1,34,40,87
850,7800.0,3,49,29,75
851,7800.0,3,51,7,22
852,6300.0,4,34,18,61
853,6600.0,1,44,25,80
854,4900.0,4,51,28,98
855,4400.0,1,48,18,84
856,5250.0,5,56,43,40
857,4900.0,4,39,0,56
858,7150.0,3,54,21,57
859,7800.0,3,42,30,11
860,6300.0,4,48,33,33
861,4400.0,1,47,3,18
862,4900.0,4,46,35,24
863,9000.0,5,31,9,71
864,3850.0,1,60,33,65
865,6300.0,4,41,49,24
866,7700.0,4,53,24,10
867,5850.0,3,52,1,52
868,5850.0,3,33,16,32
869,6050.0,1,51,40,0
870,4200.0,2,50,49,14
871,6600.0,1,42,19,60
872,4400.0,1,46,18,30
873,6600.0,1,32,31,9
874,7700.0,4,58,44,89
875,5250.0,5,51,21,82
876,4950.0,1,60,10,16
877,7700.0,4,32,23,92
878,9000.0,5,34,29,83
879,4950.0,1,59,47,44
880,4400.0,1,51,3,59
881,8400.0,4,39,27,15
882,7000.0,4,34,21,77
883,6750.0,5,52,16,86
884,5600.0,4,32,36,77
885,7000.0,4,33,44,27
886,7000.0,4,46,26,29
887,5500.0,1,38,22,56
888,7150.0,3,52,28,56
889,8400.0,4,40,3,51
890,7800.0,3,31,29,13
891,8400.0,4,31,29,24
892,4400.0,1,40,20,24
893,6500.0,3,41,4,7
894,6000.0,2,46,16,54
895,4900.0,4,43,10,4
896,6050.0,1,35,45,5
897,6000.0,5,53,48,35
898,7150.0,3,33,26,64
899,4800.0,2,48,49,89
900,7200.0,2,36,16,69
901,7800.0,3,54,46,14
902,6050.0,1,33,15,19
903,6300.0,4,59,15,83
904,5400.0,2,42,34,32
905,9000.0,5,41,18,33
906,4950.0,1,37,2,67
907,4800.0,2,45,44,56
908,6750.0,5,56,21,2
909,7200.0,2,38,4,61
910,5500.0,1,30,20,98
911,7000.0,4,45,19,7
912,7700.0,4,54,33,71
913,5500.0,1,55,48,67
914,7200.0,2,52,33,76
915,3850.0,1,35,15,62
916,4550.0,3,47,32,97
917,6000.0,2,38,40,94
918,8400.0,4,41,7,89
919,5200.0,3,49,7,65
920,5500.0,1,35,47,66
921,7800.0,3,43,40,29
922,7800.0,3,33,2,62
923,6600.0,1,39,17,21
924,4550.0,3,30,8,40
925,8250.0,5,58,32,4
926,7000.0,4,30,22,16
